Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
RIO,Rio Tinto Plc,0.5125771238728108,2995964,1.0723930950656761,179703149249.704,USD,17.371546689415315,6.0956,USD,-13.847980326200638,3.7921214997627,Non-energy minerals,Buy,105.89,USD
CRWD,"CrowdStrike Holdings, Inc.",1.4806678383128316,2545875,0.6038447969622791,176390505812.47342,USD,,-0.1885,USD,73.02132531844855,0,Technology services,Buy,692.91,USD
BA/PA,"Boeing Company (The) Depositary Shares, each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock, par value $1.00",3.9603960396039586,1011457,0.46419943167458005,172677622782,USD,36.709511568123396,1.945,USD,,0,Electronic technology,No rating,71.4,USD
SCCO,Southern Copper Corporation,1.8072606565150993,1768665,1.250893260276949,161208402881.4972,USD,32.72751909754569,5.9039,USD,36.79417966125258,1.90166757995679,Non-energy minerals,Sell,193.22,USD
IBKR,"Interactive Brokers Group, Inc.",2.1473406012553715,3530203,0.6863825889255213,157340635787.39996,USD,39.879621668099745,2.326,USD,28.423144876325097,0.352384098667548,Finance,Buy,92.76,USD
UBS,UBS Group AG Registered,1.184398611394728,2226180,0.9313293827688961,150033583180.0591,USD,17.702316994286473,2.7990686200000003,USD,85.69118793825896,2.2019794344473,Finance,Neutral,49.55,USD
VRT,"Vertiv Holdings, LLC",2.9913824413114543,5346353,0.8657793322127527,119815064063.58131,USD,78.3055102296975,3.9835,USD,130.95431354359923,0.0660349324792815,Electronic technology,Buy,311.93,USD
SBUX,Starbucks Corporation,-1.4072204968944126,7054382,0.841608603709019,115782119068.11993,USD,77.53778049152801,1.3102,USD,-52.37541347097525,2.39712732919255,Consumer services,Neutral,101.59,USD
NEM,Newmont Corporation,5.5572183976853164,9216679,1.1137931940406496,112947083079.61688,USD,13.724218445972241,7.709,USD,73.0415263748597,1.01765938341814,Non-energy minerals,Buy,105.8,USD
CDNS,"Cadence Design Systems, Inc.",2.4781795511222002,1846672,0.6704486395771103,108809413341.43936,USD,92.097583751605,4.2835,USD,8.486982068686055,0,Technology services,Strong buy,394.5,USD
BN,Brookfield Corporation,1.0395930103959277,3988876,0.8844043187676719,102030649064.32278,USD,92.073256159336,0.49612669200000004,USD,169.9492374738812,0.542907235231155,Finance,Buy,45.68,USD
FCX,"Freeport-McMoRan, Inc.",2.5142523022949845,16652558,1.1619421274663764,100816075184.2162,USD,37.30914507634197,1.8797,USD,55.154766817994215,0.87706475661453,Non-energy minerals,Buy,70.13,USD
CMI,Cummins Inc.,3.0519421450013637,856698,0.910506861339376,93792546027.66182,USD,35.28083588968997,19.2657,USD,-4.155514651012388,1.21289305315504,Producer manufacturing,Buy,679.71,USD
UPS,"United Parcel Service, Inc.",0.6753006475485699,4889974,0.9241757923999083,92506178893.82237,USD,17.618870307111983,6.1769,USD,-9.902564252166055,6.06845513413506,Transportation,Buy,108.83,USD
