Symbol,Description,Price,Price - Currency,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
HPE,Hewlett Packard Enterprise Company,49.2,USD,-8.362823617060897,37732976,0.6875731243903699,65150813570.28469,USD,47.17162032598275,1.043,USD,7.7590660192168555,0.988213961922031,Electronic technology,Buy
FIX,"Comfort Systems USA, Inc.",1843.94,USD,-3.693103178126552,365943,0.8452397505646203,64911164447.31393,USD,53.22215198824688,34.6461,USD,107.81259372113385,0.140537501891851,Industrial services,Strong buy
RKLB,Rocket Lab Corporation,110.08,USD,-8.228428511879954,21477105,0.755053449204895,63721731898.007324,USD,,-0.3303,USD,19.985465116279073,0,Electronic technology,Strong buy
TFC,Truist Financial Corporation,49.2,USD,0.04066693777959156,6861769,0.755931957664182,61297257838.35512,USD,12.196331184928113,4.034,USD,18.895340269386065,4.38633487979755,Finance,Buy
F,Ford Motor Company,14.9,USD,-2.8683181225554075,65372109,0.7308192554150336,59371920661.88415,USD,,-1.4073,USD,-212.7644230769231,3.81922342457034,Consumer durables,Neutral
NUE,Nucor Corporation,254.39,USD,-3.0082354735397234,1439845,0.9299931702733402,57935023131.43747,USD,25.20559617937895,10.0926,USD,79.7147385103011,0.861366546385752,Non-energy minerals,Buy
NBIS,Nebius Group N.V.,227.81,USD,-12.269418877806451,20873926,1.2221821781236073,57328484401.818184,USD,76.00507123077436,2.9973,USD,,0,Technology services,Buy
KEYS,Keysight Technologies Inc.,329.83,USD,-3.870478855177648,1251550,0.6573056910787722,56566672153.56139,USD,54.31982872200263,6.072,USD,42.6122084693614,0,Electronic technology,Buy
TER,"Teradyne, Inc.",357.93,USD,-12.026249815661409,5471125,1.6143941178027545,56031137177.38127,USD,66.24652970571906,5.403,USD,52.929521652986125,0.122049454438939,Electronic technology,Buy
CARR,Carrier Global Corporation,67.16,USD,-2.01342281879196,6387936,0.8141498001954668,55781784152.92749,USD,44.12325077195979,1.5221,USD,-65.07102370516557,1.37614678899083,Producer manufacturing,Buy
FLEX,Flex Ltd.,151.92,USD,-4.7583223622343445,5484965,0.9499686508344813,55660135917.19006,USD,65.15417935411931,2.3317,USD,10.433835369896748,0,Electronic technology,Buy
CRWV,"CoreWeave, Inc.",100.39,USD,-7.072109599185413,32460476,1.0988884899147873,54769807696.68323,USD,,-3.1473,USD,-21.728872558499315,0,Technology services,Buy
ALAB,"Astera Labs, Inc.",317.06,USD,-11.448121770702418,7314951,1.2485812974650763,54346603915.32876,USD,213.70989485036398,1.4836,USD,532.3955669224212,0,Electronic technology,Buy
DAL,"Delta Air Lines, Inc.",79.42,USD,-0.11319330901773789,5067578,0.6775508199081061,52178488381.66818,USD,11.59670000730087,6.8485,USD,21.407931358471153,0.952018278750952,Transportation,Strong buy
UMC,United Microelectronics Corporation (NEW),19.7,USD,-5.242905242905242,32089605,1.9136048478045533,52058645190.205124,USD,30.537901100604557,0.6451,USD,18.453911127432985,1.73565359477124,Electronic technology,Sell
ODFL,"Old Dominion Freight Line, Inc.",242.57,USD,-1.2015314434669344,2123486,1.0578383072403146,50446864425.1331,USD,50.72139511542322,4.7824,USD,-10.34793041391721,0.478691858002203,Transportation,Neutral
ROK,"Rockwell Automation, Inc.",446.71,USD,-3.359726548978892,844023,1.2535719887169714,49707190200.63552,USD,46.41625103906899,9.624,USD,21.16633932618221,1.18034349078466,Producer manufacturing,Buy
MCHP,Microchip Technology Incorporated,88.34,USD,-8.265835929387325,19736632,1.8424845807248136,47887280129.30752,USD,409.170912459472,0.2159,USD,,1.88503366131538,Electronic technology,Buy
ON,ON Semiconductor Corporation,117.26,USD,-11.045364891518728,19056584,1.7602967716198827,45954566512.597626,USD,83.58400456197876,1.4029,USD,-2.6912672539363216,0,Electronic technology,Buy
CCJ,Cameco Corporation,103.44,USD,-9.279073846693562,3894281,1.2922961675995814,45051530483.978935,USD,96.32623043601129,1.073850804,USD,170.61195254337045,0.150451354062187,Non-energy minerals,Buy
STT,State Street Corporation,161.75,USD,-0.6144393241167435,1743947,0.9300027415650214,44767068294.62249,USD,16.40483169200499,9.8599,USD,10.73438079087162,2.07752723587535,Finance,Buy
